Name,Name URL,Type,Description,CB Rank
Yuga Labs,https://www.crunchbase.com/organization/yuga-labs,Organization,Yuga Labs is a blockchain technology company that develops NFTs and digital collectibles.,41
Aura Frames,https://www.crunchbase.com/organization/pushd,Organization,Aura Frames offers a smart picture frame designed to fill homes with beautiful photos of family and friends.,462
o9 Solutions,https://www.crunchbase.com/organization/o9-solutions,Organization,O9 Solutions is a cloud-based business management platform powering digital transformations of integrated planning and operations.,638
LTK,https://www.crunchbase.com/organization/rewardstyle,Organization,LTK is a global creator commerce platform that empowers thousands of digital lifestyle influencers to achieve economic success.,705
Blavity,https://www.crunchbase.com/organization/blavity,Organization,Blavity is home to the network of platforms and brands serving the multifaceted lives of Black millennials and gen-z.,827
Penske Media Corporation,https://www.crunchbase.com/organization/penske-media-corporation,Organization,PMC is a Leading Digital Media and Publishing Company,831
VideoAmp,https://www.crunchbase.com/organization/videoamp,Organization,VideoAmp is a software and data company that provides measurement and optimization tools for the advertising ecosystem.,855
KaiOS Technologies,https://www.crunchbase.com/organization/kai-technologies,Organization,KaiOS Technologies powers an emerging global ecosystem of affordable digital products and services.,"1,028"
FITE,https://www.crunchbase.com/organization/flipps,Organization,FITE is a direct-to-consumer digital live sports streaming service for sports and entertainment.,"1,226"
6AM City,https://www.crunchbase.com/organization/6am-city,Organization,"About 6AM City, Inc.:6AM City is redefining the future of local media as the fastest growing new","1,310"
Samba TV,https://www.crunchbase.com/organization/sambatv,Organization,Samba TV enables the next-generation TV experience powered by its first-party data and helps viewers engage with relevant media.,"1,572"
Vox Media,https://www.crunchbase.com/organization/vox-media,Organization,Vox Media is an operator of an online media publishing agency created to influence editorial properties and premium advertising.,"1,612"
Health In Her HUE,https://www.crunchbase.com/organization/health-in-her-hue,Organization,Health In Her HUE is a digital health platform connecting black women and women of color to competent healthcare providers and communities.,"29,876"
